iteration,total_return_pct,annual_return_pct,win_rate_pct,max_drawdown_pct,sharpe_ratio,total_trades,params
26,95.90306499999997,11.8682582982925,56.42857142857143,-33.09329377723783,0.7032319008252257,140,"{'percentile_window': 49, 'long_entry_pct': 0.21990539836414688, 'short_entry_pct': 0.7056650892549119, 'atr_stop_mult': 1.4485476259475663, 'max_hold_days': 9}"
27,65.825795,8.801217645655889,53.475935828877006,-30.979991622531966,0.5296898446589581,187,"{'percentile_window': 30, 'long_entry_pct': 0.2861050467095266, 'short_entry_pct': 0.6611360407734514, 'atr_stop_mult': 1.242055299454038, 'max_hold_days': 9}"
28,86.12422500000001,10.91695791777485,55.42168674698795,-30.979991622531966,0.658620134344101,166,"{'percentile_window': 36, 'long_entry_pct': 0.20337894696186054, 'short_entry_pct': 0.601594595459521, 'atr_stop_mult': 1.8904590313026044, 'max_hold_days': 8}"
29,65.030605,8.714027381479017,53.645833333333336,-31.483079186217168,0.5070093659036177,192,"{'percentile_window': 30, 'long_entry_pct': 0.38942980082243195, 'short_entry_pct': 0.6775022980382673, 'atr_stop_mult': 1.0165893294094241, 'max_hold_days': 5}"
30,80.652675,10.366360076033354,54.3010752688172,-30.519447542998783,0.6116542357557879,186,"{'percentile_window': 32, 'long_entry_pct': 0.34220634299560526, 'short_entry_pct': 0.7072393068785028, 'atr_stop_mult': 1.7949023943649554, 'max_hold_days': 9}"
31,77.694605,10.062880660193452,54.11764705882353,-30.846300308761247,0.6069025555328571,170,"{'percentile_window': 39, 'long_entry_pct': 0.3397104579780145, 'short_entry_pct': 0.7834584399101288, 'atr_stop_mult': 1.5896504282080937, 'max_hold_days': 5}"
32,96.17489999999998,11.894132455287366,56.02836879432624,-33.09329377723783,0.7040763638232869,141,"{'percentile_window': 49, 'long_entry_pct': 0.22266766501372742, 'short_entry_pct': 0.7518607878883472, 'atr_stop_mult': 1.560965837762561, 'max_hold_days': 9}"
33,104.76496499999999,12.696771157816201,56.09756097560976,-30.519447542998783,0.760147923769019,164,"{'percentile_window': 38, 'long_entry_pct': 0.30309793500213084, 'short_entry_pct': 0.7334259998353163, 'atr_stop_mult': 1.6093196291586735, 'max_hold_days': 8}"
34,89.87177499999997,11.286339129226231,55.10204081632652,-33.09329377723783,0.6653194957676022,147,"{'percentile_window': 49, 'long_entry_pct': 0.2470089893136329, 'short_entry_pct': 0.7048201771992154, 'atr_stop_mult': 1.582406629514818, 'max_hold_days': 9}"
35,75.85106999999999,9.871609656839686,53.888888888888886,-30.979991622531966,0.5861289871865024,180,"{'percentile_window': 30, 'long_entry_pct': 0.3145322968722467, 'short_entry_pct': 0.670639763647987, 'atr_stop_mult': 1.505703396107614, 'max_hold_days': 5}"
36,98.55474999999998,12.119387897177859,55.757575757575765,-30.519447542998783,0.7165440129262287,165,"{'percentile_window': 38, 'long_entry_pct': 0.3871279891934674, 'short_entry_pct': 0.7221267278861412, 'atr_stop_mult': 1.246851665438009, 'max_hold_days': 7}"
37,97.71067,12.03975351089339,55.68181818181818,-30.979991622531966,0.7089898260077239,176,"{'percentile_window': 30, 'long_entry_pct': 0.3296642806607233, 'short_entry_pct': 0.6727032566381798, 'atr_stop_mult': 1.1012709028495231, 'max_hold_days': 7}"
38,69.06378000000002,9.152694831892205,53.92670157068062,-30.44286871951965,0.5534629330764039,191,"{'percentile_window': 33, 'long_entry_pct': 0.2908271787623172, 'short_entry_pct': 0.6454907221397179, 'atr_stop_mult': 1.538549850018681, 'max_hold_days': 9}"
39,99.76494999999998,12.23307301311063,55.294117647058826,-30.44286871951965,0.7285162858143966,170,"{'percentile_window': 38, 'long_entry_pct': 0.2785075707697872, 'short_entry_pct': 0.6627164051515992, 'atr_stop_mult': 1.5433419269402568, 'max_hold_days': 6}"
40,95.63002500000002,11.842239313610015,56.209150326797385,-30.519447542998783,0.7211564440466249,153,"{'percentile_window': 45, 'long_entry_pct': 0.28030382690420313, 'short_entry_pct': 0.6444832725111145, 'atr_stop_mult': 1.6285625671655488, 'max_hold_days': 8}"
41,76.531695,9.942419768684907,53.57142857142857,-33.09329377723783,0.576062140783468,168,"{'percentile_window': 43, 'long_entry_pct': 0.3824284206642785, 'short_entry_pct': 0.7251544115573438, 'atr_stop_mult': 1.7226609686527825, 'max_hold_days': 7}"
42,90.31806499999999,11.32992240184667,54.87804878048781,-30.519447542998783,0.6805455525174294,164,"{'percentile_window': 45, 'long_entry_pct': 0.35402316484931395, 'short_entry_pct': 0.6676812603050385, 'atr_stop_mult': 1.0621739396504317, 'max_hold_days': 7}"
43,76.778875,9.968079307136723,54.54545454545454,-33.09329377723783,0.5918618127840759,154,"{'percentile_window': 38, 'long_entry_pct': 0.38690088091567376, 'short_entry_pct': 0.7997440750026864, 'atr_stop_mult': 1.547523841362668, 'max_hold_days': 6}"
44,77.58493,10.05154799427148,53.96825396825397,-30.979991622531966,0.5938113821813005,189,"{'percentile_window': 32, 'long_entry_pct': 0.3866300464217069, 'short_entry_pct': 0.6069748284041268, 'atr_stop_mult': 1.6309962216727243, 'max_hold_days': 9}"
45,116.86296,13.780876292874012,57.04697986577181,-30.519447542998783,0.8337922533794683,149,"{'percentile_window': 47, 'long_entry_pct': 0.2073158908639442, 'short_entry_pct': 0.6432865385329402, 'atr_stop_mult': 1.854264563158055, 'max_hold_days': 7}"
46,84.788215,10.783773513905581,55.00000000000001,-30.519447542998783,0.6416840646784617,180,"{'percentile_window': 30, 'long_entry_pct': 0.21894280671682492, 'short_entry_pct': 0.7077926981260638, 'atr_stop_mult': 1.3288863569125628, 'max_hold_days': 5}"
47,88.09847999999998,11.112316898285846,54.44444444444444,-30.311659119720346,0.6589998896092415,180,"{'percentile_window': 44, 'long_entry_pct': 0.39664232118809967, 'short_entry_pct': 0.6264044875221153, 'atr_stop_mult': 1.8977426253667478, 'max_hold_days': 9}"
48,77.95552500000001,10.089817993315432,53.72340425531915,-30.979991622531966,0.5925374033227903,188,"{'percentile_window': 37, 'long_entry_pct': 0.2514033096537351, 'short_entry_pct': 0.6381186911824147, 'atr_stop_mult': 1.6959858414022402, 'max_hold_days': 9}"
49,56.306509999999996,7.733719613100898,53.37423312883436,-33.09329377723783,0.46728585713615395,163,"{'percentile_window': 45, 'long_entry_pct': 0.2782572446155519, 'short_entry_pct': 0.7386991949306732, 'atr_stop_mult': 1.1370625197907906, 'max_hold_days': 5}"
50,48.46205500000001,6.812521814496919,52.903225806451616,-33.09329377723783,0.42623993933265436,155,"{'percentile_window': 44, 'long_entry_pct': 0.276051202298691, 'short_entry_pct': 0.783758083456056, 'atr_stop_mult': 1.0297446621545663, 'max_hold_days': 9}"
51,65.99698000000001,8.819941997085955,53.333333333333336,-33.09329377723783,0.5239174886115529,165,"{'percentile_window': 46, 'long_entry_pct': 0.3199514849522984, 'short_entry_pct': 0.718547646660612, 'atr_stop_mult': 1.3091777372334206, 'max_hold_days': 5}"
52,101.504545,12.395487862946354,55.865921787709496,-30.44286871951965,0.7299658389034742,179,"{'percentile_window': 33, 'long_entry_pct': 0.32347124399794996, 'short_entry_pct': 0.6833076378353926, 'atr_stop_mult': 1.7400979142596436, 'max_hold_days': 8}"
53,80.55788,10.356699148493242,55.78231292517006,-33.09329377723783,0.6132352430711429,147,"{'percentile_window': 48, 'long_entry_pct': 0.3968329263677498, 'short_entry_pct': 0.74202204087473, 'atr_stop_mult': 1.6421986130152817, 'max_hold_days': 8}"
54,75.024145,9.785271030715869,54.02298850574713,-30.519447542998783,0.5927191838452551,174,"{'percentile_window': 44, 'long_entry_pct': 0.331571881533162, 'short_entry_pct': 0.665125247727705, 'atr_stop_mult': 1.7426085343121605, 'max_hold_days': 7}"
55,90.89923999999999,11.386550645864158,55.633802816901415,-32.71485705535319,0.6837143669192292,142,"{'percentile_window': 49, 'long_entry_pct': 0.3040312828176389, 'short_entry_pct': 0.7664684854718197, 'atr_stop_mult': 1.0685901233592832, 'max_hold_days': 7}"
56,96.50185,11.92521309740837,56.00000000000001,-30.44286871951965,0.6999578029609598,175,"{'percentile_window': 36, 'long_entry_pct': 0.3598225135338653, 'short_entry_pct': 0.6822311184719116, 'atr_stop_mult': 1.1413602391970201, 'max_hold_days': 7}"
57,98.794435,12.141949455755153,56.395348837209305,-30.44286871951965,0.710643723909922,172,"{'percentile_window': 35, 'long_entry_pct': 0.3492297677777189, 'short_entry_pct': 0.6917317984302719, 'atr_stop_mult': 1.399380429131497, 'max_hold_days': 6}"
58,73.96836499999998,9.674542451354483,54.644808743169406,-30.237624007245355,0.5805258448523662,183,"{'percentile_window': 31, 'long_entry_pct': 0.3693932446351952, 'short_entry_pct': 0.7971057777766396, 'atr_stop_mult': 1.2094440567874405, 'max_hold_days': 7}"
59,92.85816499999999,11.576371299378785,55.688622754491014,-30.519447542998783,0.6936050944739003,167,"{'percentile_window': 32, 'long_entry_pct': 0.22939279547394567, 'short_entry_pct': 0.7542389181453274, 'atr_stop_mult': 1.3799943907410053, 'max_hold_days': 8}"
60,75.00474499999997,9.783241414103427,55.24475524475524,-32.71485705535319,0.5940885259553941,143,"{'percentile_window': 48, 'long_entry_pct': 0.33137145300694415, 'short_entry_pct': 0.790915765882341, 'atr_stop_mult': 1.9180883034190912, 'max_hold_days': 7}"
61,80.53653499999997,10.354523213512156,55.21472392638037,-30.519447542998783,0.6300405630043002,163,"{'percentile_window': 41, 'long_entry_pct': 0.2566924896043979, 'short_entry_pct': 0.7547881221078577, 'atr_stop_mult': 1.4468310829508881, 'max_hold_days': 9}"
62,93.796325,11.666711032432108,55.757575757575765,-30.769067633709568,0.6945615785582602,165,"{'percentile_window': 38, 'long_entry_pct': 0.21941438537247193, 'short_entry_pct': 0.600102850853351, 'atr_stop_mult': 1.7623202293576807, 'max_hold_days': 6}"
63,105.93817999999999,12.804206028359587,56.00000000000001,-30.979991622531966,0.7530886164038082,175,"{'percentile_window': 38, 'long_entry_pct': 0.33040056280940683, 'short_entry_pct': 0.6427825708246915, 'atr_stop_mult': 1.430864687793741, 'max_hold_days': 9}"
64,93.10606,11.60027777941246,55.172413793103445,-33.09329377723783,0.6893305826856246,145,"{'percentile_window': 37, 'long_entry_pct': 0.2618984333766301, 'short_entry_pct': 0.790659573454064, 'atr_stop_mult': 1.8368335657740689, 'max_hold_days': 8}"
65,73.06437,9.579287000349845,54.18994413407822,-30.519447542998783,0.5742387127632206,179,"{'percentile_window': 32, 'long_entry_pct': 0.26813395048256433, 'short_entry_pct': 0.7553938840674197, 'atr_stop_mult': 1.6095872291615205, 'max_hold_days': 6}"
66,77.560355,10.049007871410875,54.06976744186046,-30.519447542998783,0.605417727571646,172,"{'percentile_window': 49, 'long_entry_pct': 0.37348401373691936, 'short_entry_pct': 0.6183140533301783, 'atr_stop_mult': 1.5800334383069086, 'max_hold_days': 6}"
67,108.20011499999997,13.009906893683842,56.32911392405063,-30.519447542998783,0.7895847038846074,158,"{'percentile_window': 44, 'long_entry_pct': 0.23806144413048275, 'short_entry_pct': 0.7025390570916262, 'atr_stop_mult': 1.1094608920120284, 'max_hold_days': 7}"
68,105.92406999999999,12.802916965952438,56.375838926174495,-30.519447542998783,0.784349136737789,149,"{'percentile_window': 45, 'long_entry_pct': 0.2337951772117376, 'short_entry_pct': 0.6599336471208642, 'atr_stop_mult': 1.3572962005776976, 'max_hold_days': 7}"
69,80.40289499999999,10.340894916663323,54.49438202247191,-30.519447542998783,0.619068578394743,178,"{'percentile_window': 30, 'long_entry_pct': 0.28179939606433263, 'short_entry_pct': 0.7274980494780573, 'atr_stop_mult': 1.1707026174300759, 'max_hold_days': 8}"
70,81.90951000000001,10.494051414359419,54.83870967741935,-33.09329377723783,0.6162519812237114,155,"{'percentile_window': 49, 'long_entry_pct': 0.23256858924384238, 'short_entry_pct': 0.6867013243607996, 'atr_stop_mult': 1.5627558015899576, 'max_hold_days': 5}"
71,64.75653,8.683894732756837,53.289473684210535,-32.71485705535319,0.5341689757321773,152,"{'percentile_window': 48, 'long_entry_pct': 0.2584972726755784, 'short_entry_pct': 0.7946355002700919, 'atr_stop_mult': 1.3132116295179879, 'max_hold_days': 7}"
72,39.89785500000001,5.759280535085609,52.121212121212125,-33.09329377723783,0.3721415797568284,165,"{'percentile_window': 41, 'long_entry_pct': 0.2466506884332862, 'short_entry_pct': 0.7824697536411834, 'atr_stop_mult': 1.8016922421210326, 'max_hold_days': 9}"
73,73.751785,9.65175869278594,55.47945205479452,-32.87649050187535,0.5735944150102844,146,"{'percentile_window': 43, 'long_entry_pct': 0.26895970831507565, 'short_entry_pct': 0.7931286044429132, 'atr_stop_mult': 1.7904882225351515, 'max_hold_days': 8}"
74,70.284765,9.283775129400617,54.088050314465406,-30.519447542998783,0.5725137767285738,159,"{'percentile_window': 38, 'long_entry_pct': 0.21651515313435243, 'short_entry_pct': 0.7511898047725585, 'atr_stop_mult': 1.819921634075973, 'max_hold_days': 6}"
75,99.969045,12.252188935626119,55.74712643678161,-30.44286871951965,0.7296132104056782,174,"{'percentile_window': 33, 'long_entry_pct': 0.2107650237309685, 'short_entry_pct': 0.6759398460884096, 'atr_stop_mult': 1.1177003866753026, 'max_hold_days': 8}"
76,69.74937499999999,9.226394429035633,54.21686746987952,-30.519447542998783,0.5636609400822742,166,"{'percentile_window': 41, 'long_entry_pct': 0.2217608536959453, 'short_entry_pct': 0.6784266749646775, 'atr_stop_mult': 1.2332386997914953, 'max_hold_days': 8}"
77,90.46217499999999,11.34397754134364,55.84415584415584,-30.311659119720346,0.6905180640193594,154,"{'percentile_window': 40, 'long_entry_pct': 0.33626161534382143, 'short_entry_pct': 0.7508883128983876, 'atr_stop_mult': 1.696865103115399, 'max_hold_days': 8}"
78,86.06882,10.911450551230818,55.55555555555556,-33.07100807944116,0.6368865483724789,153,"{'percentile_window': 45, 'long_entry_pct': 0.3634216321110563, 'short_entry_pct': 0.7062547384872448, 'atr_stop_mult': 1.8047720250207266, 'max_hold_days': 5}"
79,95.02767999999998,11.78473246848002,56.02836879432624,-33.09329377723783,0.6974558505890415,141,"{'percentile_window': 48, 'long_entry_pct': 0.22907553583220155, 'short_entry_pct': 0.6887825797887124, 'atr_stop_mult': 1.1804806160298287, 'max_hold_days': 9}"
80,66.69360499999999,8.895973828366888,53.89221556886228,-33.09329377723783,0.5302981592104197,167,"{'percentile_window': 40, 'long_entry_pct': 0.32457671855328374, 'short_entry_pct': 0.7941955451749042, 'atr_stop_mult': 1.9666081262513389, 'max_hold_days': 7}"
