symbol,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,hold_days,exit_reason,capital_after
TA,空,2019-07-02,2019-07-05,6318.0,5969.307828571428,1,1721.9580684428588,3,ATR止盈,15436.031096948875
M,多,2019-07-02,2019-07-09,2869.0,2738.5420595142855,1,-1324.2058020654451,7,硬止损,14111.825294883429
RM,多,2019-07-03,2019-07-15,2470.0,2487.0,1,152.6505,12,超时12天,14264.475794883429
M,多,2019-07-10,2019-07-15,2753.0,2860.6934571428574,1,1057.2866443285736,5,ATR止盈,15321.762439212001
M,多,2019-07-16,2019-07-26,2851.0,2784.0,1,-689.7225,10,超时10天,14632.039939212002
RM,多,2019-07-17,2019-07-29,2410.0,2375.0,1,-366.7475,12,超时12天,14265.292439212002
TA,多,2019-07-23,2019-07-29,5550.0,5266.11861,1,-1438.3351575674978,6,硬止损,12826.957281644503
M,多,2019-07-29,2019-08-05,2780.0,2870.556,1,885.7830540000004,7,ATR止盈,13712.740335644503
RM,空,2019-08-14,2019-08-14,2522.0,2418.352742857143,1,1019.1813368285714,0,ATR止盈,14731.921672473074
M,空,2019-08-14,2019-08-14,2935.0,2838.413,1,945.6630544999999,0,ATR止盈,15677.584726973075
RM,多,2019-08-20,2019-08-26,2302.0,2431.4604,1,1278.0368885999994,6,ATR止盈,16955.621615573073
TA,空,2019-09-18,2019-09-19,5390.0,5167.207714285715,1,1095.4863150714243,1,ATR止盈,18051.107930644495
M,多,2019-09-10,2019-09-20,2855.0,2863.0,1,59.987,10,超时10天,18111.094930644496
MA,空,2019-09-17,2019-09-27,2360.0,2341.0,1,173.5465,10,超时10天,18284.641430644497
M,多,2019-09-23,2019-10-08,2865.0,2910.0,1,429.7875,15,超时15天,18714.428930644495
RM,空,2019-10-10,2019-10-21,2359.0,2421.0,1,-636.73,11,超时11天,18077.698930644496
M,空,2019-10-10,2019-10-21,2959.0,3037.3403918,1,-804.3911093712991,11,硬止损,17273.307821273196
MA,多,2019-10-17,2019-10-25,2207.0,2094.1123914,1,-1143.9299793699001,8,硬止损,16129.377841903297
RM,空,2019-10-22,2019-10-25,2424.0,2344.5152000000003,1,778.1581967999972,3,ATR止盈,16907.536038703292
M,空,2019-10-22,2019-10-28,3086.0,2999.8113714285714,1,840.5859459142858,6,ATR止盈,17748.121984617577
M,多,2019-11-07,2019-11-18,2928.0,2889.0,1,-410.3595,11,超时11天,17337.76248461758
TA,空,2019-12-17,2019-12-27,4980.0,5040.0,1,-317.535,10,超时10天,17020.22748461758
MA,空,2019-12-18,2019-12-30,2158.0,2223.0,1,-665.3335,12,超时12天,16354.893984617578
RM,空,2019-12-18,2019-12-30,2294.0,2322.0,1,-296.156,12,超时12天,16058.737984617577
TA,空,2019-12-31,2019-12-31,5068.0,4928.129257142857,1,681.8604880857167,0,ATR止盈,16740.598472703296
MA,空,2019-12-31,2019-12-31,2227.0,2184.0,1,414.5615,0,回测结束,17155.159972703295
RM,空,2020-02-24,2020-03-02,2290.0,2361.960458,1,-735.8864416030002,7,硬止损,9264.113558396999
RM,空,2020-03-30,2020-04-02,2509.0,2371.4982,1,1357.9362563,3,ATR止盈,10622.049814696999
M,空,2020-03-24,2020-04-03,2935.0,2825.2701428571427,1,1077.1376259285732,10,ATR止盈,11699.187440625572
RM,多,2020-04-21,2020-04-27,2301.0,2410.745914285714,1,1080.968032157142,6,ATR止盈,12780.155472782713
M,多,2020-04-21,2020-05-06,2721.0,2758.0,1,350.8235,15,超时15天,13130.978972782714
RM,多,2020-04-29,2020-05-11,2350.0,2322.0,1,-296.352,12,超时12天,12834.626972782713
RM,多,2020-05-12,2020-05-22,2331.0,2306.0,1,-266.22950000000003,10,超时10天,12568.397472782714
TA,空,2020-05-18,2020-05-28,3584.0,3654.0,1,-362.6665,10,超时10天,12205.730972782714
M,空,2020-06-04,2020-06-15,2805.0,2802.0,1,10.375499999999999,11,超时11天,12216.106472782714
RM,多,2020-06-16,2020-06-29,2318.0,2309.0,1,-106.1945,13,超时13天,12109.911972782715
TA,多,2020-06-30,2020-07-10,3636.0,3546.0,1,-462.5685,10,超时10天,11647.343472782715
MA,空,2020-07-07,2020-07-17,1810.0,1796.0,1,127.379,10,超时10天,11774.722472782716
M,空,2020-07-08,2020-07-20,2906.0,2920.0,1,-160.391,12,超时12天,11614.331472782716
RM,多,2020-07-14,2020-07-20,2330.0,2398.3231428571426,1,666.6822975714256,6,ATR止盈,12281.013770354142
RM,空,2020-07-21,2020-07-27,2425.0,2501.555485,1,-782.7977941974987,6,硬止损,11498.215976156644
M,空,2020-07-28,2020-07-28,3032.0,2955.536457142857,1,743.6790509714278,0,ATR止盈,12241.895027128072
MA,多,2020-07-27,2020-08-06,1725.0,1688.0,1,-381.9455,10,超时10天,11859.949527128072
TA,空,2020-08-10,2020-08-12,3676.0,3793.9539351999997,1,-602.8420953865985,2,硬止损,11257.107431741473
RM,多,2020-08-06,2020-08-17,2353.0,2329.0,1,-256.387,11,超时11天,11000.720431741473
M,多,2020-08-06,2020-08-17,2888.0,2908.0,1,179.714,11,超时11天,11180.434431741473
TA,空,2020-08-13,2020-08-24,3794.0,3738.0,1,266.819,11,超时11天,11447.253431741472
M,多,2020-08-24,2020-08-28,2880.0,2949.7188571428574,1,676.7845554285736,4,ATR止盈,12124.037987170046
MA,空,2020-08-19,2020-08-31,1925.0,1980.0,1,-563.6675,12,超时12天,11560.370487170047
TA,空,2020-08-25,2020-09-04,3738.0,3722.0,1,66.945,10,超时10天,11627.315487170046
MA,空,2020-09-01,2020-09-07,1985.0,2067.0333969999997,1,-834.5160868894969,6,硬止损,10792.79940028055
M,空,2020-08-31,2020-09-08,2945.0,3014.8865889999997,1,-719.7254930614973,8,硬止损,10073.073907219052
MA,空,2020-09-08,2020-09-09,2053.0,1987.732257142857,1,638.5348656714305,1,ATR止盈,10711.608772890482
RM,空,2020-09-08,2020-09-14,2379.0,2452.7832757999995,1,-754.743999465295,6,硬止损,9956.864773425186
M,空,2020-09-11,2020-09-14,3003.0,3084.1102005999996,1,-832.4068917020965,3,硬止损,9124.45788172309
